order_id,user_id,product_id,amount,currency,status,channel,created_at,paid_at,region,refunded,refund_amount,attribution_campaign
P-20001,U-101,PRO-001,199.99,USD,completed,web,2025-10-20T09:10:00Z,2025-10-20T09:11:00Z,NA,false,0.0,autumn
P-20002,U-102,PRO-002,299.50,USD,completed,mobile,2025-10-22T10:20:00Z,2025-10-22T10:21:00Z,NA,false,0.0,autumn
P-20003,U-103,PRO-001,199.99,USD,completed,web,2025-10-25T11:30:00Z,2025-10-25T11:31:00Z,NA,false,0.0,autumn
P-20004,U-104,PRO-003,79.99,USD,completed,web,2025-10-26T12:40:00Z,2025-10-26T12:41:00Z,EU,false,0.0,autumn
P-20005,U-105,PRO-002,299.50,USD,completed,api,2025-11-02T13:50:00Z,2025-11-02T13:51:00Z,NA,false,0.0,nov
P-20006,U-106,PRO-004,49.99,USD,completed,mobile,2025-11-03T09:05:00Z,2025-11-03T09:06:00Z,APAC,false,0.0,nov
P-20007,U-107,PRO-001,199.99,USD,completed,web,2025-11-04T10:06:00Z,2025-11-04T10:07:00Z,NA,false,0.0,nov
P-20008,U-108,PRO-005,24.99,USD,completed,partner,2025-11-05T11:07:00Z,2025-11-05T11:08:00Z,EU,false,0.0,partner
P-20009,U-109,PRO-006,15.00,USD,completed,web,2025-11-06T12:08:00Z,2025-11-06T12:09:00Z,APAC,false,0.0,ad-campaign
P-20010,U-110,PRO-002,299.50,USD,completed,web,2025-11-07T13:09:00Z,2025-11-07T13:10:00Z,NA,false,0.0,nov
P-20011,U-111,PRO-007,129.00,USD,completed,mobile,2025-11-08T14:10:00Z,2025-11-08T14:11:00Z,NA,false,0.0,nov
P-20012,U-112,PRO-003,79.99,USD,completed,web,2025-11-09T15:11:00Z,2025-11-09T15:12:00Z,EU,false,0.0,nov
P-20013,U-113,PRO-001,199.99,USD,completed,api,2025-11-10T16:12:00Z,2025-11-10T16:13:00Z,NA,false,0.0,nov
P-20014,U-114,PRO-004,49.99,USD,completed,web,2025-11-11T09:20:00Z,2025-11-11T09:21:00Z,APAC,false,0.0,nov
P-20015,U-115,PRO-002,299.50,USD,completed,partner,2025-11-12T10:21:00Z,2025-11-12T10:22:00Z,NA,false,0.0,blackfriday
P-20016,U-116,PRO-005,24.99,USD,completed,web,2025-11-13T11:22:00Z,2025-11-13T11:23:00Z,EU,false,0.0,blackfriday
P-20017,U-117,PRO-006,15.00,USD,pending,api,2025-11-14T12:23:00Z,2025-11-14T12:24:00Z,APAC,false,0.0,blackfriday
P-20018,U-118,PRO-007,129.00,USD,completed,web,2025-11-14T13:24:00Z,2025-11-14T13:25:00Z,NA,false,0.0,blackfriday
P-20019,U-119,PRO-008,9.99,USD,completed,mobile,2025-11-14T14:25:00Z,2025-11-14T14:26:00Z,NA,false,0.0,promo
P-20020,U-120,PRO-009,1999.00,USD,completed,web,2025-11-01T08:00:00Z,2025-11-01T08:01:00Z,NA,false,0.0,premium
